key,city,country,latitude,longitude,comment,annotation
argamesilla,Argamasilla de Alba,España,39.1264201,-3.0951959,,Nota de alcance sobre el lugar (no puede quedar en blanco)
aragon,Aragón,España,41.5976275,-0.9056623,,Nota de alcance sobre el lugar (no puede quedar en blanco)
zaragoza,Zaragoza,España,41.6488226,-0.8890853,,Nota de alcance sobre el lugar (no puede quedar en blanco)
granada,Granada,España,37.1773363,-3.5985571,,Ciudad de Granada (Andalucía)
sierramorena,Sierra Morena,España,38.367,-3.833,,Sistema montañoso
